Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,24.543517320288366,24.543517320288366,24.421410268943646,24.526073455810547,1003200,29,4,4,1,1993
1993-02-01,24.543515257916205,24.700510025024414,24.543515257916205,24.700510025024414,480500,1,0,5,2,1993
1993-02-02,24.683072202385436,24.770291538789625,24.630740600542925,24.75284767150879,201300,2,1,5,2,1993
1993-02-03,24.787723774025462,25.031937801355763,24.77027991493044,25.014493942260742,529400,3,2,5,2,1993
1993-02-04,25.101717743608685,25.171493192513783,24.822615947988297,25.11916160583496,531500,4,3,5,2,1993
1993-02-05,25.101722717285156,25.154054314333003,24.962171791824222,25.101722717285156,492100,5,4,5,2,1993
1993-02-08,25.101722717285156,25.188942045698237,25.06683498591992,25.101722717285156,596100,8,0,6,2,1993
1993-02-09,25.014511225855877,25.014511225855877,24.874960256673976,24.927291870117188,122100,9,1,6,2,1993
1993-02-10,24.92728763289755,24.97961923744527,24.857512160167257,24.962175369262695,379600,10,2,6,2,1993
1993-02-11,24.99705688014979,25.18893938237006,24.99705688014979,25.08427619934082,19500,11,3,6,2,1993
1993-02-12,25.049395560549954,25.049395560549954,24.89240074157715,24.89240074157715,42500,12,4,6,2,1993
1993-02-16,24.8226213612889,24.8226213612889,24.229529916254588,24.26441764831543,374800,16,1,7,2,1993
1993-02-17,24.26442072065614,24.299308457134437,24.159757511221244,24.246976852416992,210900,17,2,7,2,1993
1993-02-18,24.52608957695738,24.52608957695738,23.898110042981227,24.229543685913086,378100,18,3,7,2,1993
1993-02-19,24.22953024143126,24.316749572753906,24.194642508902202,24.316749572753906,34900,19,4,7,2,1993
1993-02-22,24.3865268508224,24.438858453506565,24.31675138057684,24.40397071838379,513600,22,0,8,2,1993
1993-02-23,24.473737786256194,24.49118164782872,24.26441144738586,24.386518478393555,373700,23,1,8,2,1993
1993-02-24,24.403964353820022,24.700510025024414,24.403964353820022,24.700510025024414,26300,24,2,8,2,1993
1993-02-25,24.683072202385436,24.770291538789625,24.630740600542925,24.75284767150879,44500,25,3,8,2,1993
